elapsed time [s];abs. position error [km]
    0.000000000;    0.023591335
   10.000000000;    0.023589256
   20.000000000;    0.023588160
   30.000000000;    0.023588050
   40.000000000;    0.023588933
   50.000000000;    0.023590814
   60.000000000;    0.023593696
   70.000000000;    0.023597586
   80.000000000;    0.023602488
   90.000000000;    0.023608405
  100.000000000;    0.023615344
  110.000000000;    0.023623307
  120.000000000;    0.023632300
  130.000000000;    0.023642326
  140.000000000;    0.023653389
  150.000000000;    0.023665493
  160.000000000;    0.023678642
  170.000000000;    0.023692838
  180.000000000;    0.023708086
  190.000000000;    0.023724387
  200.000000000;    0.023741746
  210.000000000;    0.023760164
  220.000000000;    0.023779643
  230.000000000;    0.023800187
  240.000000000;    0.023821796
  250.000000000;    0.023844473
  260.000000000;    0.023868218
  270.000000000;    0.023893033
  280.000000000;    0.023918919
  290.000000000;    0.023945876
  300.000000000;    0.023973972
  310.000000000;    0.024003218
  320.000000000;    0.024033534
  330.000000000;    0.024064918
  340.000000000;    0.024097366
  350.000000000;    0.024130877
  360.000000000;    0.024165448
  370.000000000;    0.024201075
  380.000000000;    0.024237755
  390.000000000;    0.024275485
  400.000000000;    0.024314259
  410.000000000;    0.024354075
  420.000000000;    0.024394927
  430.000000000;    0.024436811
  440.000000000;    0.024479722
  450.000000000;    0.024523655
  460.000000000;    0.024568605
  470.000000000;    0.024614565
  480.000000000;    0.024661532
  490.000000000;    0.024709498
  500.000000000;    0.024758458
  510.000000000;    0.024808406
  520.000000000;    0.024859336
  530.000000000;    0.024911241
  540.000000000;    0.024964115
  550.000000000;    0.025017952
  560.000000000;    0.025072744
  570.000000000;    0.025128485
  580.000000000;    0.025185169
  590.000000000;    0.025242789
  600.000000000;    0.025301287
  610.000000000;    0.025360649
  620.000000000;    0.025420927
  630.000000000;    0.025482116
  640.000000000;    0.025544210
  650.000000000;    0.025607203
  660.000000000;    0.025671088
  670.000000000;    0.025735860
  680.000000000;    0.025801513
  690.000000000;    0.025868040
  700.000000000;    0.025935435
  710.000000000;    0.026003693
  720.000000000;    0.026072806
  730.000000000;    0.026142768
  740.000000000;    0.026213573
  750.000000000;    0.026285215
  760.000000000;    0.026357686
  770.000000000;    0.026430981
  780.000000000;    0.026505092
  790.000000000;    0.026580013
  800.000000000;    0.026655738
  810.000000000;    0.026732258
  820.000000000;    0.026809568
  830.000000000;    0.026887660
  840.000000000;    0.026966528
  850.000000000;    0.027046163
  860.000000000;    0.027126559
  870.000000000;    0.027207708
  880.000000000;    0.027289604
