elapsed time [s];abs. position error [km]
    0.000000000;    0.251260482
   10.000000000;    0.250550364
   20.000000000;    0.249855447
   30.000000000;    0.249175713
   40.000000000;    0.248511124
   50.000000000;    0.247861644
   60.000000000;    0.247227247
   70.000000000;    0.246607934
   80.000000000;    0.246003741
   90.000000000;    0.245414749
  100.000000000;    0.244841080
  110.000000000;    0.244282897
  120.000000000;    0.243740397
  130.000000000;    0.243213797
  140.000000000;    0.242703323
  150.000000000;    0.242206622
  160.000000000;    0.241725236
  170.000000000;    0.241260738
  180.000000000;    0.240813391
  190.000000000;    0.240383419
  200.000000000;    0.239971010
  210.000000000;    0.239576312
  220.000000000;    0.239199428
  230.000000000;    0.238840422
  240.000000000;    0.238499311
  250.000000000;    0.238176065
  260.000000000;    0.237870609
  270.000000000;    0.237582824
  280.000000000;    0.237312548
  290.000000000;    0.237059583
  300.000000000;    0.236823704
  310.000000000;    0.236604664
  320.000000000;    0.236402209
  330.000000000;    0.236214108
  340.000000000;    0.236040993
  350.000000000;    0.235883663
  360.000000000;    0.235741981
  370.000000000;    0.235615825
  380.000000000;    0.235505085
  390.000000000;    0.235409657
  400.000000000;    0.235329435
  410.000000000;    0.235264309
  420.000000000;    0.235214164
  430.000000000;    0.235178875
  440.000000000;    0.235158318
  450.000000000;    0.235152366
  460.000000000;    0.235160898
  470.000000000;    0.235183800
  480.000000000;    0.235220966
  490.000000000;    0.235272296
  500.000000000;    0.235337697
  510.000000000;    0.235417993
  520.000000000;    0.235512653
  530.000000000;    0.235621080
  540.000000000;    0.235743109
  550.000000000;    0.235878559
  560.000000000;    0.236027229
  570.000000000;    0.236188908
  580.000000000;    0.236363372
  590.000000000;    0.236550389
  600.000000000;    0.236749727
  610.000000000;    0.236961151
  620.000000000;    0.237184428
  630.000000000;    0.237419327
  640.000000000;    0.237665615
  650.000000000;    0.237923062
  660.000000000;    0.238191434
  670.000000000;    0.238470502
  680.000000000;    0.238760037
  690.000000000;    0.239058734
  700.000000000;    0.239366891
  710.000000000;    0.239684873
  720.000000000;    0.240012531
  730.000000000;    0.240349726
  740.000000000;    0.240696328
  750.000000000;    0.241052214
  760.000000000;    0.241417258
  770.000000000;    0.241791330
  780.000000000;    0.242174287
  790.000000000;    0.242565969
  800.000000000;    0.242966195
  810.000000000;    0.243374763
  820.000000000;    0.243791451
  830.000000000;    0.244216012
  840.000000000;    0.244648183
  850.000000000;    0.245087683
  860.000000000;    0.245534218
  870.000000000;    0.245986332
  880.000000000;    0.246444239
  890.000000000;    0.246908218
  900.000000000;    0.247377983
  910.000000000;    0.247853251
  920.000000000;    0.248333734
  930.000000000;    0.248819152
  940.000000000;    0.249309230
  950.000000000;    0.249803704
  960.000000000;    0.250302328
  970.000000000;    0.250804872
  980.000000000;    0.251311130
  990.000000000;    0.251820917
 1000.000000000;    0.252334071
 1010.000000000;    0.252850452
 1020.000000000;    0.253369941
