elapsed time [s];abs. position error [km]
    0.000000000;    0.071102850
   10.000000000;    0.071043266
   20.000000000;    0.070998514
   30.000000000;    0.070968842
   40.000000000;    0.070954488
   50.000000000;    0.070955674
   60.000000000;    0.070972607
   70.000000000;    0.071005477
   80.000000000;    0.071054452
   90.000000000;    0.071119683
  100.000000000;    0.071201295
  110.000000000;    0.071299393
  120.000000000;    0.071414057
  130.000000000;    0.071545342
  140.000000000;    0.071693281
  150.000000000;    0.071857972
  160.000000000;    0.072039568
  170.000000000;    0.072237757
  180.000000000;    0.072452470
  190.000000000;    0.072683617
  200.000000000;    0.072931088
  210.000000000;    0.073194756
  220.000000000;    0.073474479
  230.000000000;    0.073770102
  240.000000000;    0.074081455
  250.000000000;    0.074408363
  260.000000000;    0.074750639
  270.000000000;    0.075108089
  280.000000000;    0.075480515
  290.000000000;    0.075867715
  300.000000000;    0.076269482
  310.000000000;    0.076685607
  320.000000000;    0.077115877
  330.000000000;    0.077560548
  340.000000000;    0.078020299
  350.000000000;    0.078493531
  360.000000000;    0.078979975
  370.000000000;    0.079479357
  380.000000000;    0.079991402
  390.000000000;    0.080515831
  400.000000000;    0.081052366
  410.000000000;    0.081600723
  420.000000000;    0.082160620
  430.000000000;    0.082731771
  440.000000000;    0.083313889
  450.000000000;    0.083906686
  460.000000000;    0.084509870
  470.000000000;    0.085123145
  480.000000000;    0.085746213
  490.000000000;    0.086378772
  500.000000000;    0.087020515
  510.000000000;    0.087671031
  520.000000000;    0.088329810
  530.000000000;    0.088996816
  540.000000000;    0.089671730
  550.000000000;    0.090354230
  560.000000000;    0.091043991
  570.000000000;    0.091740682
  580.000000000;    0.092443971
  590.000000000;    0.093153526
  600.000000000;    0.093869015
  610.000000000;    0.094590108
  620.000000000;    0.095316482
  630.000000000;    0.096047819
  640.000000000;    0.096783809
  650.000000000;    0.097524153
  660.000000000;    0.098268565
  670.000000000;    0.099016771
  680.000000000;    0.099768509
  690.000000000;    0.100524010
  700.000000000;    0.101283956
  710.000000000;    0.102046727
  720.000000000;    0.102812065
  730.000000000;    0.103579723
  740.000000000;    0.104349464
  750.000000000;    0.105121060
  760.000000000;    0.105894290
  770.000000000;    0.106668940
  780.000000000;    0.107444802
  790.000000000;    0.108221672
  800.000000000;    0.108999350
  810.000000000;    0.109777637
  820.000000000;    0.110556337
  830.000000000;    0.111335252
  840.000000000;    0.112114187
  850.000000000;    0.112892944
  860.000000000;    0.113671323
  870.000000000;    0.114448960
  880.000000000;    0.115225336
  890.000000000;    0.116000740
  900.000000000;    0.116774989
  910.000000000;    0.117547899
  920.000000000;    0.118319288
  930.000000000;    0.119088973
  940.000000000;    0.119856771
  950.000000000;    0.120622501
  960.000000000;    0.121385983
  970.000000000;    0.122147035
  980.000000000;    0.122905480
  990.000000000;    0.123661139
 1000.000000000;    0.124413836
 1010.000000000;    0.125163396
 1020.000000000;    0.125909644
 1030.000000000;    0.126652409
 1040.000000000;    0.127391522
 1050.000000000;    0.128126790
 1060.000000000;    0.128858004
 1070.000000000;    0.129585077
 1080.000000000;    0.130307852
 1090.000000000;    0.131026178
 1100.000000000;    0.131739908
 1110.000000000;    0.132448898
 1120.000000000;    0.133153007
 1130.000000000;    0.133852101
 1140.000000000;    0.134546048
 1150.000000000;    0.135234722
 1160.000000000;    0.135918000
 1170.000000000;    0.136595766
 1180.000000000;    0.137267905
 1190.000000000;    0.137934309
 1200.000000000;    0.138594871
 1210.000000000;    0.139249489
 1220.000000000;    0.139898065
 1230.000000000;    0.140540166
 1240.000000000;    0.141175062
 1250.000000000;    0.141803648
 1260.000000000;    0.142425866
 1270.000000000;    0.143041658
 1280.000000000;    0.143650965
 1290.000000000;    0.144253725
 1300.000000000;    0.144849871
 1310.000000000;    0.145439334
 1320.000000000;    0.146022036
 1330.000000000;    0.146597897
 1340.000000000;    0.147166827
 1350.000000000;    0.147728731
 1360.000000000;    0.148283504
 1370.000000000;    0.148831039
 1380.000000000;    0.149371218
 1390.000000000;    0.149903920
 1400.000000000;    0.150429018
 1410.000000000;    0.150946053
 1420.000000000;    0.151454256
 1430.000000000;    0.151954444
 1440.000000000;    0.152446513
 1450.000000000;    0.152930366
 1460.000000000;    0.153405907
 1470.000000000;    0.153873045
 1480.000000000;    0.154331692
 1490.000000000;    0.154781767
 1500.000000000;    0.155223195
 1510.000000000;    0.155655905
 1520.000000000;    0.156079833
 1530.000000000;    0.156494922
 1540.000000000;    0.156901120
 1550.000000000;    0.157298380
 1560.000000000;    0.157686663
 1570.000000000;    0.158065934
 1580.000000000;    0.158436162
 1590.000000000;    0.158797775
 1600.000000000;    0.159151623
 1610.000000000;    0.159496360
 1620.000000000;    0.159831923
 1630.000000000;    0.160158253
 1640.000000000;    0.160475290
 1650.000000000;    0.160782977
 1660.000000000;    0.161081260
 1670.000000000;    0.161370086
 1680.000000000;    0.161649405
 1690.000000000;    0.161919169
 1700.000000000;    0.162179332
 1710.000000000;    0.162429852
 1720.000000000;    0.162670688
 1730.000000000;    0.162901801
 1740.000000000;    0.163123157
 1750.000000000;    0.163334722
 1760.000000000;    0.163536464
 1770.000000000;    0.163727888
 1780.000000000;    0.163908087
 1790.000000000;    0.164078420
 1800.000000000;    0.164238913
 1810.000000000;    0.164389595
 1820.000000000;    0.164530492
 1830.000000000;    0.164661631
 1840.000000000;    0.164783037
 1850.000000000;    0.164894729
 1860.000000000;    0.164996724
 1870.000000000;    0.165089033
 1880.000000000;    0.165171660
 1890.000000000;    0.165244601
 1900.000000000;    0.165307846
 1910.000000000;    0.165361374
 1920.000000000;    0.165405157
 1930.000000000;    0.165439156
 1940.000000000;    0.165463325
 1950.000000000;    0.165477091
 1960.000000000;    0.165479387
 1970.000000000;    0.165471652
 1980.000000000;    0.165453865
 1990.000000000;    0.165426004
 2000.000000000;    0.165388045
 2010.000000000;    0.165339966
 2020.000000000;    0.165281743
 2030.000000000;    0.165213359
 2040.000000000;    0.165134796
 2050.000000000;    0.165046045
 2060.000000000;    0.164947102
 2070.000000000;    0.164837971
 2080.000000000;    0.164718663
 2090.000000000;    0.164589199
 2100.000000000;    0.164449607
 2110.000000000;    0.164299927
 2120.000000000;    0.164140203
 2130.000000000;    0.163970725
 2140.000000000;    0.163792000
 2150.000000000;    0.163603409
 2160.000000000;    0.163404997
 2170.000000000;    0.163196812
 2180.000000000;    0.162978907
 2190.000000000;    0.162751331
 2200.000000000;    0.162514137
 2210.000000000;    0.162267376
 2220.000000000;    0.162011099
 2230.000000000;    0.161745352
 2240.000000000;    0.161470185
 2250.000000000;    0.161185643
 2260.000000000;    0.160891770
 2270.000000000;    0.160588610
 2280.000000000;    0.160276206
 2290.000000000;    0.159954600
 2300.000000000;    0.159623834
 2310.000000000;    0.159283453
 2320.000000000;    0.158932554
 2330.000000000;    0.158572641
 2340.000000000;    0.158203812
 2350.000000000;    0.157826168
 2360.000000000;    0.157439811
 2370.000000000;    0.157044840
 2380.000000000;    0.156641357
 2390.000000000;    0.156229459
 2400.000000000;    0.155809238
 2410.000000000;    0.155380782
 2420.000000000;    0.154944174
 2430.000000000;    0.154499488
 2440.000000000;    0.154046790
 2450.000000000;    0.153586137
 2460.000000000;    0.153117578
 2470.000000000;    0.152641154
 2480.000000000;    0.152156897
 2490.000000000;    0.151664740
