Epoch (mjd);Azimuth (deg),Elevation (deg)
6.104471482638925954e+04;1.493281779367362390e+02;2.021172873811124759e+01
6.104471486111125705e+04;1.489653572831109045e+02;2.060097632519185851e+01
6.104471489583326183e+04;1.485926512740546173e+02;2.099557917689622144e+01
6.104471493055525934e+04;1.482096853670567214e+02;2.139561727813253000e+01
6.104471496527826093e+04;1.478160677735768616e+02;2.180116751983689483e+01
6.104471500000026572e+04;1.474113890579746453e+02;2.221230324060709194e+01
6.104471503472225595e+04;1.469952208197067023e+02;2.262909330997009860e+01
6.104471506944426073e+04;1.465671152349603403e+02;2.305160172731162760e+01
6.104471510416626552e+04;1.461266038534421909e+02;2.347988641866477266e+01
6.104471513888925983e+04;1.456731967389417548e+02;2.391399877834374621e+01
6.104471517361126462e+04;1.452063817817816584e+02;2.435398235114098497e+01
6.104471520833326213e+04;1.447256232091276900e+02;2.479987203018621500e+01
6.104471524305525963e+04;1.442303610120308974e+02;2.525169273914351820e+01
6.104471527777826122e+04;1.437200099141035423e+02;2.570945817170420611e+01
6.104471531250025873e+04;1.431939582256035806e+02;2.617316953107963684e+01
6.104471534722226352e+04;1.426515669267020883e+02;2.664281381112787273e+01
6.104471538194426103e+04;1.420921687507508295e+02;2.711836242125492902e+01
6.104471541666625853e+04;1.415150672102540739e+02;2.759976923835830220e+01
6.104471545138926012e+04;1.409195359093191087e+02;2.808696865877044502e+01
6.104471548611125763e+04;1.403048175123323915e+02;2.857987370749806288e+01
6.104471552083326242e+04;1.396701231137057562e+02;2.907837357450357629e+01
6.104471555555525993e+04;1.390146319513977176e+02;2.958233155205705955e+01
6.104471559027826152e+04;1.383374907193639558e+02;3.009158211265150840e+01
6.104471562500026630e+04;1.376378133956700935e+02;3.060592855987584926e+01
6.104471565972225653e+04;1.369146816435620906e+02;3.112513987714708463e+01
6.104471569444426132e+04;1.361671447541705220e+02;3.164894786292132167e+01
6.104471572916626610e+04;1.353942206778344541e+02;3.217704392213008902e+01
6.104471576388926042e+04;1.345948970554257471e+02;3.270907568572939539e+01
6.104471579861126520e+04;1.337681329372221626e+02;3.324464363024868874e+01
6.104471583333326271e+04;1.329128610747387143e+02;3.378329741086100313e+01
6.104471586805526022e+04;1.320279910146997508e+02;3.432453253822771444e+01
6.104471590277826181e+04;1.311124124794898478e+02;3.486778642508978976e+01
6.104471593750025932e+04;1.301650006383655693e+02;3.541243483392943858e+01
6.104471597222226410e+04;1.291846213786672593e+02;3.595778855381488626e+01
6.104471600694426161e+04;1.281701383531998317e+02;3.650308967617474565e+01
6.104471604166625912e+04;1.271204213454166307e+02;3.704750855812166321e+01
6.104471607638926071e+04;1.260343558378145303e+02;3.759014095766335828e+01
6.104471611111125821e+04;1.249108541846110541e+02;3.813000551268833505e+01
6.104471614583326300e+04;1.237488687324778454e+02;3.866604202209249053e+01
6.104471618055526051e+04;1.225474065455558446e+02;3.919710984149726585e+01
6.104471621527826210e+04;1.213055460212316916e+02;3.972198799784124645e+01
6.104471625000025961e+04;1.200224555112656759e+02;4.023937530397168416e+01
6.104471628472225711e+04;1.186974136617937603e+02;4.074789247858836916e+01
6.104471631944426190e+04;1.173298320451603445e+02;4.124608495373679062e+01
6.104471635416625941e+04;1.159192786511878950e+02;4.173242763035787561e+01
6.104471638888926100e+04;1.144655034983903761e+02;4.220533106623214792e+01
6.104471642361126578e+04;1.129684647035530105e+02;4.266314944009310750e+01
6.104471645833325601e+04;1.114283551242696149e+02;4.310419063568438247e+01
6.104471649305526080e+04;1.098456288295928260e+02;4.352672793009878660e+01
6.104471652777826239e+04;1.082210264247686382e+02;4.392901437501896567e+01
6.104471656250025990e+04;1.065555983706186254e+02;4.430929832387365508e+01
6.104471659722226468e+04;1.048507252089501804e+02;4.466584153730397588e+01
6.104471663194426219e+04;1.031081334907831319e+02;4.499693866372850692e+01
6.104471666666625970e+04;1.013299067771394846e+02;4.530093780852811136e+01
6.104471670138926129e+04;9.951848953515639096e+01;4.557626293669570572e+01
6.104471673611125880e+04;9.767668398681824726e+01;4.582143581711986968e+01
6.104471677083326358e+04;9.580763847791354237e+01;4.603509842523457252e+01
6.104471680555526109e+04;9.391482725262461884e+01;4.621603483000700408e+01
6.104471684027826268e+04;9.200202077431387693e+01;4.636319147664345763e+01
6.104471687500026019e+04;9.007324819678822792e+01;4.647569534935150415e+01
6.104471690972225770e+04;8.813275066823882753e+01;4.655286989956665167e+01
6.104471694444426248e+04;8.618492902019423241e+01;4.659424747913651288e+01
6.104471697916625999e+04;8.423428492475507312e+01;4.659957799198350870e+01
6.104471701388926158e+04;8.228535970270129951e+01;4.656883387883770098e+01
6.104471704861126636e+04;8.034267101165596614e+01;4.650221040371566517e+01
6.104471708333325660e+04;7.841065039368550060e+01;4.640012204428641240e+01
6.104471711805526138e+04;7.649358448982997061e+01;4.626319464234954637e+01
6.104471715277825570e+04;7.459556015074628021e+01;4.609225383008784860e+01
6.104471718750026048e+04;7.272041670932377144e+01;4.588830984668570778e+01
6.104471722222226526e+04;7.087170581634293853e+01;4.565253994852478314e+01
6.104471725694426277e+04;6.905265992779656870e+01;4.538626841295693737e+01
6.104471729166626028e+04;6.726616944387374986e+01;4.509094516697854971e+01
6.104471732638926187e+04;6.551476930174749214e+01;4.476812349917220502e+01
6.104471736111125938e+04;6.380063341788405751e+01;4.441943765705697444e+01
6.104471739583326416e+04;6.212557726635311894e+01;4.404658078821323386e+01
6.104471743055526167e+04;6.049106687426506568e+01;4.365128379814007076e+01
6.104471746527826326e+04;5.889823377596950138e+01;4.323529541132401022e+01
6.104471750000026077e+04;5.734789414984560096e+01;4.280036412306844795e+01
6.104471753472225828e+04;5.584057173661388163e+01;4.234822164101340292e+01
6.104471756944426306e+04;5.437652253381721579e+01;4.188056844659902822e+01
6.104471760416626057e+04;5.295576097999203569e+01;4.139906136188150754e+01
6.104471763888926216e+04;5.157808688368472616e+01;4.090530323629272402e+01
6.104471767361125967e+04;5.024311149303128587e+01;4.040083429497753542e+01
6.104471770833325718e+04;4.895028327885813013e+01;3.988712560707495669e+01
6.104471774305526196e+04;4.769891211350102367e+01;3.936557404368950586e+01
6.104471777777825628e+04;4.648819213182110133e+01;3.883749906932759899e+01
6.104471781250026106e+04;4.531722241498131609e+01;3.830414039277054172e+01
6.104471784722226585e+04;4.418502629912407542e+01;3.776665733682102655e+01
6.104471788194425608e+04;4.309056839221780422e+01;3.722612883830304753e+01
6.104471791666626086e+04;4.203276987203005177e+01;3.668355459397756135e+01
6.104471795138926245e+04;4.101052183604411994e+01;3.613985695130315179e+01
6.104471798611125996e+04;4.002269704709387099e+01;3.559588285649259376e+01
6.104471802083326475e+04;3.906815984553356458e+01;3.505240694848490790e+01
6.104471805555526225e+04;3.814577497278794738e+01;3.451013471021322943e+01
6.104471809027826384e+04;3.725441461873307247e+01;3.396970544798536906e+01
6.104471812500026135e+04;3.639296443775318579e+01;3.343169635948413543e+01
6.104471815972225886e+04;3.556032859076932340e+01;3.289662568503523943e+01
6.104471819444426364e+04;3.475543369864809762e+01;3.236495654642447306e+01
6.104471822916626115e+04;3.397723199346954459e+01;3.183710055653185478e+01
6.104471826388926274e+04;3.322470389683722658e+01;3.131342142896574998e+01
6.104471829861126025e+04;3.249685945227271588e+01;3.079423818662647250e+01
6.104471833333325776e+04;3.179274021597632327e+01;3.027982894322778407e+01
6.104471836805526254e+04;3.111141954330598836e+01;2.977043365349429038e+01
6.104471840277825686e+04;3.045200333362239675e+01;2.926625743631663568e+01
6.104471843750026164e+04;2.981363020217635196e+01;2.876747361142786019e+01
6.104471847222226643e+04;2.919547107903829897e+01;2.827422599123453395e+01
6.104471850694425666e+04;2.859672926639412083e+01;2.778663191749310357e+01
6.104471854166626144e+04;2.801663957910840352e+01;2.730478438125371810e+01
6.104471857638925576e+04;2.745446788635825897e+01;2.682875454387452763e+01
6.104471861111126054e+04;2.690951025219657922e+01;2.635859351319086841e+01
6.104471864583326533e+04;2.638109230529850535e+01;2.589433463534640723e+01
6.104471868055525556e+04;2.586856797845423728e+01;2.543599498448343965e+01
6.104471871527826443e+04;2.537131882101972025e+01;2.498357725350360781e+01
6.104471875000026193e+04;2.488875308218413807e+01;2.453707118646238072e+01
6.104471878472225944e+04;2.442030439316700097e+01;2.409645506825931349e+01
6.104471881944426423e+04;2.396543119426035773e+01;2.366169687055366566e+01
6.104471885416626174e+04;2.352361541702584802e+01;2.323275551227152391e+01
6.104471888888926333e+04;2.309436168215379936e+01;2.280958217740874971e+01
6.104471892361126083e+04;2.267719632543498420e+01;2.239212083069296710e+01
6.104471895833325834e+04;2.227166636643656616e+01;2.198030947809074931e+01
6.104471899305526313e+04;2.187733870636120770e+01;2.157408091165272879e+01
6.104471902777825744e+04;2.149379921131458815e+01;2.117336339706295334e+01
6.104471906250026223e+04;2.112065179557293604e+01;2.077808130389246344e+01
6.104471909722225973e+04;2.075751761944210116e+01;2.038815596503599181e+01
6.104471913194425724e+04;2.040403440170823401e+01;2.000350579130351392e+01
