Epoch (mjd);Azimuth (deg),Elevation (deg)
6.104471482638925954e+04;1.493274531451254177e+02;2.021241095895791418e+01
6.104471486111125705e+04;1.489646221782597593e+02;2.060166043679924641e+01
6.104471489583326183e+04;1.485919055121884753e+02;2.099626512196855188e+01
6.104471493055525934e+04;1.482089285471051312e+02;2.139630499937402419e+01
6.104471496527826093e+04;1.478152996090609008e+02;2.180185701724755276e+01
6.104471500000026572e+04;1.474106091478239193e+02;2.221299445689113838e+01
6.104471503472225595e+04;1.469944288774422887e+02;2.262978618783175122e+01
6.104471506944426073e+04;1.465663108022159804e+02;2.305229620945510760e+01
6.104471510416626552e+04;1.461257865291474616e+02;2.348058244779429415e+01
6.104471513888925983e+04;1.456723661793219264e+02;2.391469618257197993e+01
6.104471517361126462e+04;1.452055374138789432e+02;2.435468113046792737e+01
6.104471520833326213e+04;1.447247646318716647e+02;2.480057207002030495e+01
6.104471524305525963e+04;1.442294878243511107e+02;2.525239386759742288e+01
6.104471527777826122e+04;1.437191216003379850e+02;2.571016027418635730e+01
6.104471531250025873e+04;1.431930542127944364e+02;2.617387243570270172e+01
6.104471534722226352e+04;1.426506466991873197e+02;2.664351740330029017e+01
6.104471538194426103e+04;1.420912317928684558e+02;2.711906647179358387e+01
6.104471541666625853e+04;1.415141129490462788e+02;2.760047351808007576e+01
6.104471545138926012e+04;1.409185637145323540e+02;2.808767293849222213e+01
6.104471548611125763e+04;1.403038267537130537e+02;2.858057770074094250e+01
6.104471552083326242e+04;1.396691131610002685e+02;2.907907710938021495e+01
6.104471555555525993e+04;1.390136021743525419e+02;2.958303422749700928e+01
6.104471559027826152e+04;1.383364403731339394e+02;3.009228358488008581e+01
6.104471562500026630e+04;1.376367418500016413e+02;3.060662848511838163e+01
6.104471565972225653e+04;1.369135880963143279e+02;3.112583791162889568e+01
6.104471569444426132e+04;1.361660285177940466e+02;3.164964354827617043e+01
6.104471572916626610e+04;1.353930808928926126e+02;3.217773674269596285e+01
6.104471576388926042e+04;1.345937329770733584e+02;3.270976518314005688e+01
6.104471579861126520e+04;1.337669437633183520e+02;3.324532917425056411e+01
6.104471583333326271e+04;1.329116460031426072e+02;3.378397848579206908e+01
6.104471586805526022e+04;1.320267491859745803e+02;3.432520845653863262e+01
6.104471590277826181e+04;1.311111430914947391e+02;3.486845649923119339e+01
6.104471593750025932e+04;1.301637028316638123e+02;3.541309837635197511e+01
6.104471597222226410e+04;1.291832942365263932e+02;3.595844470508186674e+01
6.104471600694426161e+04;1.281687811307747324e+02;3.650373763414525996e+01
6.104471604166625912e+04;1.271190332405663668e+02;3.704814740606323653e+01
6.104471607638926071e+04;1.260329359911024198e+02;3.759076972154773699e+01
6.104471611111125821e+04;1.249094019084877516e+02;3.813062321848727265e+01
6.104471614583326300e+04;1.237473833393939628e+02;3.866664752389038995e+01
6.104471618055526051e+04;1.225458873479620507e+02;3.919770210797009469e+01
6.104471621527826210e+04;1.213039925034659490e+02;3.972256576848185716e+01
6.104471625000025961e+04;1.200208671003702250e+02;4.023993743286448677e+01
6.104471628472225711e+04;1.186957901285854575e+02;4.074843759063465143e+01
6.104471631944426190e+04;1.173281730458645171e+02;4.124661173113363333e+01
6.104471635416625941e+04;1.159175841285087927e+02;4.173293475530234531e+01
6.104471638888926100e+04;1.144637735669195422e+02;4.220581710632976069e+01
6.104471642361126578e+04;1.129666995351777672e+02;4.266361290565358644e+01
6.104471645833325601e+04;1.114265552346519996e+02;4.310463009431324366e+01
6.104471649305526080e+04;1.098437949635779489e+02;4.352714194940154613e+01
6.104471652777826239e+04;1.082191595563847528e+02;4.392940146530535372e+01
6.104471656250025990e+04;1.065536996457813501e+02;4.430965705274918776e+01
6.104471659722226468e+04;1.048487961173497496e+02;4.466617052966993384e+01
6.104471663194426219e+04;1.031061758658845093e+02;4.499723654448619925e+01
6.104471666666625970e+04;1.013279226242949420e+02;4.530120331717036919e+01
6.104471670138926129e+04;9.951648126078868017e+01;4.557649481271539571e+01
6.104471673611125880e+04;9.767465422653322094e+01;4.582163291460139476e+01
6.104471677083326358e+04;9.580559015379596133e+01;4.603525982744546496e+01
6.104471680555526109e+04;9.391276345864656605e+01;4.621615967751056075e+01
6.104471684027826268e+04;9.199994494822210811e+01;4.636327902459455430e+01
6.104471687500026019e+04;9.007116383362533441e+01;4.647574508208812460e+01
6.104471690972225770e+04;8.813066149223043055e+01;4.655288141601833019e+01
6.104471694444426248e+04;8.618283875556605267e+01;4.659422049282436262e+01
6.104471697916625999e+04;8.423219746762006821e+01;4.659951256020330845e+01
6.104471701388926158e+04;8.228327877728516171e+01;4.656873005888522243e+01
6.104471704861126636e+04;8.034060034218435931e+01;4.650206859666137404e+01
6.104471708333325660e+04;7.840859370438410281e+01;4.639994270849653191e+01
6.104471711805526138e+04;7.649154516114975877e+01;4.626297852266922206e+01
6.104471715277825570e+04;7.459354150584246668e+01;4.609200167136221182e+01
6.104471718750026048e+04;7.271842178487268882e+01;4.588802262294301215e+01
6.104471722222226526e+04;7.086973736254198286e+01;4.565221880568061152e+01
6.104471725694426277e+04;6.905072040836427050e+01;4.538591449692688684e+01
6.104471729166626028e+04;6.726426115064128908e+01;4.509055979556553950e+01
6.104471732638926187e+04;6.551289412547558300e+01;4.476770804747496157e+01
6.104471736111125938e+04;6.379879296285452739e+01;4.441899355746996747e+01
6.104471739583326416e+04;6.212377279307312250e+01;4.404610947313095437e+01
6.104471743055526167e+04;6.048929941405863531e+01;4.365078675725278856e+01
6.104471746527826326e+04;5.889650413097756143e+01;4.323477419161777391e+01
6.104471750000026077e+04;5.734620283573014632e+01;4.279982021423353444e+01
6.104471753472225828e+04;5.583891898255804165e+01;4.234765653274006780e+01
6.104471756944426306e+04;5.437490845441255516e+01;4.187998362857753420e+01
6.104471760416626057e+04;5.295418546064698262e+01;4.139845826650635274e+01
6.104471763888926216e+04;5.157654963792038671e+01;4.090468323866260647e+01
6.104471767361125967e+04;5.024161211977721564e+01;4.040019871289539566e+01
6.104471770833325718e+04;4.894882126245229870e+01;3.988647575834371395e+01
6.104471774305526196e+04;4.769748688098562894e+01;3.936491124611210068e+01
6.104471777777825628e+04;4.648680282375946859e+01;3.883682441152382836e+01
6.104471781250026106e+04;4.531586834382408568e+01;3.830345502065600982e+01
6.104471784722226585e+04;4.418370660543454420e+01;3.776596228171975156e+01
6.104471788194425608e+04;4.308928215926351868e+01;3.722542513153907606e+01
6.104471791666626086e+04;4.203151624037430167e+01;3.668284320957912570e+01
6.104471795138926245e+04;4.100929988895444467e+01;3.613913869141117630e+01
6.104471798611125996e+04;4.002150575324623105e+01;3.559515858054377446e+01
6.104471802083326475e+04;3.906699834549127814e+01;3.505167745862014073e+01
6.104471805555526225e+04;3.814464234981853252e+01;3.450940069398188115e+01
6.104471809027826384e+04;3.725330989880827559e+01;3.396896759293679224e+01
6.104471812500026135e+04;3.639188670414053917e+01;3.343095529587191805e+01
6.104471815972225886e+04;3.555927698403214521e+01;3.289588192852138349e+01
6.104471819444426364e+04;3.475440730205390594e+01;3.236421066996676643e+01
6.104471822916626115e+04;3.397623000487742218e+01;3.183635301849655264e+01
6.104471826388926274e+04;3.322372539951469861e+01;3.131267263042329319e+01
6.104471829861126025e+04;3.249590370137466522e+01;3.079348858594310556e+01
6.104471833333325776e+04;3.179180640936182556e+01;3.027907888417817617e+01
6.104471836805526254e+04;3.111050693612990159e+01;2.976968347985312136e+01
6.104471840277825686e+04;3.045111118103959669e+01;2.926550749185858891e+01
6.104471843750026164e+04;2.981275775934170724e+01;2.876672412533605083e+01
6.104471847222226643e+04;2.919461777299401817e+01;2.827347724998785594e+01
6.104471850694425666e+04;2.859589435229505483e+01;2.778588415027467917e+01
6.104471854166626144e+04;2.801582242670098921e+01;2.730403781724666246e+01
6.104471857638925576e+04;2.745366792268469780e+01;2.682800929767040188e+01
6.104471861111126054e+04;2.690872696159485855e+01;2.635784981397278770e+01
6.104471864583326533e+04;2.638032500021926552e+01;2.589359259770592914e+01
6.104471868055525556e+04;2.586781620053124797e+01;2.543525472301213242e+01
6.104471871527826443e+04;2.537058205459095817e+01;2.498283894008880424e+01
6.104471875000026193e+04;2.488803081158759412e+01;2.453633487839985605e+01
6.104471878472225944e+04;2.441959616003643774e+01;2.409572082284485361e+01
6.104471881944426423e+04;2.396473654022954136e+01;2.366096480237883171e+01
6.104471885416626174e+04;2.352293388372854110e+01;2.323202573592786990e+01
6.104471888888926333e+04;2.309369286851954328e+01;2.280885463560048976e+01
6.104471892361126083e+04;2.267653983039332388e+01;2.239139563801166943e+01
6.104471895833325834e+04;2.227102184621282532e+01;2.197958663453641392e+01
6.104471899305526313e+04;2.187670575988492772e+01;2.157336047452113093e+01
6.104471902777825744e+04;2.149317743751531395e+01;2.117264536635409655e+01
6.104471906250026223e+04;2.112004085067598425e+01;2.077736573690212651e+01
6.104471909722225973e+04;2.075691727426436373e+01;2.038744280446839596e+01
6.104471913194425724e+04;2.040344425517924876e+01;2.000279509445443082e+01
