Epoch (mjd);Azimuth (deg),Elevation (deg)
6.104978204861126142e+04;2.652855829757812671e+02;2.017549001700591660e+01
6.104978208333325892e+04;2.655766586564412819e+02;2.066155807495579921e+01
6.104978211805526371e+04;2.658779930318314655e+02;2.115879537216395434e+01
6.104978215277825802e+04;2.661901463973798059e+02;2.166760567198862475e+01
6.104978218750026281e+04;2.665137194420387345e+02;2.218840648877511512e+01
6.104978222222226032e+04;2.668493566287360750e+02;2.272162880137692298e+01
6.104978225694425782e+04;2.671977503769673490e+02;2.326771705315573158e+01
6.104978229166626261e+04;2.675596450734999507e+02;2.382712857902361847e+01
6.104978232638925692e+04;2.679358422289935220e+02;2.440033286059790285e+01
6.104978236111126171e+04;2.683272054627326497e+02;2.498781118242650834e+01
6.104978239583325922e+04;2.687346667478669247e+02;2.559005502770608942e+01
6.104978243055525672e+04;2.691592324274676571e+02;2.620756493236647700e+01
6.104978246527826559e+04;2.696019910640498551e+02;2.684084865160570743e+01
6.104978250000025582e+04;2.700641208307275747e+02;2.749041875346731700e+01
6.104978253472226061e+04;2.705468989650178173e+02;2.815678998323444304e+01
6.104978256944426539e+04;2.710517113372354174e+02;2.884047571109152130e+01
6.104978260416625562e+04;2.715800636804659689e+02;2.954198374953238826e+01
6.104978263888926449e+04;2.721335937372710418e+02;3.026181142592320228e+01
6.104978267361126200e+04;2.727140848960837616e+02;3.100043945185408845e+01
6.104978270833325951e+04;2.733234814318862504e+02;3.175832481846243738e+01
6.104978274305526429e+04;2.739639053511684210e+02;3.253589220206600174e+01
6.104978277777825861e+04;2.746376748411693711e+02;3.333352382280992288e+01
6.104978281250026339e+04;2.753473253547241484e+02;3.415154775632767326e+01
6.104978284722226090e+04;2.760956320129135406e+02;3.499022389627513974e+01
6.104978288194425841e+04;2.768856352162772509e+02;3.584972796880808232e+01
6.104978291666626319e+04;2.777206677457181740e+02;3.673013228120024110e+01
6.104978295138925751e+04;2.786043852438564841e+02;3.763138446510915713e+01
6.104978298611126229e+04;2.795407983006664949e+02;3.855328186536267765e+01
6.104978302083325980e+04;2.805343072320148963e+02;3.949544312125237866e+01
6.104978305555525731e+04;2.815897385197762901e+02;4.045727493498138472e+01
6.104978309027826617e+04;2.827123822259773078e+02;4.143793505859086679e+01
6.104978312500025640e+04;2.839080292350533909e+02;4.243629000967471399e+01
6.104978315972226119e+04;2.851830069491192603e+02;4.345086820343190226e+01
6.104978319444426597e+04;2.865442097693237429e+02;4.447980769891560726e+01
6.104978322916625621e+04;2.879991216703867281e+02;4.552079901784522065e+01
6.104978326388926507e+04;2.895558249668538338e+02;4.657102372353069342e+01
6.104978329861126258e+04;2.912229879372075061e+02;4.762708847343038343e+01
6.104978333333326009e+04;2.930098219093284797e+02;4.868495775390583447e+01
6.104978336805526487e+04;2.949259954887139088e+02;4.973988592742731640e+01
6.104978340277825919e+04;2.969814893136759224e+02;5.078635311859655133e+01
6.104978343750026397e+04;2.991863737477176528e+02;5.181800957994477130e+01
6.104978347222226148e+04;3.015504875075055224e+02;5.282763495463350978e+01
6.104978350694425899e+04;3.040829957978177163e+02;5.380712171797434706e+01
6.104978354166626377e+04;3.067918096188189452e+02;5.474749356937406475e+01
6.104978357638925809e+04;3.096828568491534384e+02;5.563897160896006255e+01
6.104978361111126287e+04;3.127592141575894971e+02;5.647110331037998776e+01
6.104978364583326038e+04;3.160201364698103248e+02;5.723296637918524254e+01
6.104978368055525789e+04;3.194600610531745701e+02;5.791345861217961044e+01
6.104978371527825948e+04;3.230677064259918438e+02;5.850167582038081804e+01
6.104978375000025699e+04;3.268254284675526833e+02;5.898736710128461169e+01
6.104978378472226177e+04;3.307090128355192746e+02;5.936144247947126473e+01
6.104978381944425928e+04;3.346880628583527937e+02;5.961648914157892420e+01
6.104978385416625679e+04;3.387270664400236342e+02;5.974723994389271553e+01
6.104978388888926565e+04;3.427871055368891007e+02;5.975093242769921886e+01
6.104978392361125589e+04;3.468280313346668322e+02;5.962750626054259584e+01
6.104978395833326067e+04;3.508108146931976421e+02;5.937960759070386985e+01
6.104978399305526546e+04;3.546997372516457290e+02;5.901239974194544402e+01
6.104978402777825977e+04;3.584641279489840713e+02;5.853321032880499786e+01
6.104978406250026455e+04;2.079462769476227102e+00;5.795106601486595110e+01
6.104978409722226206e+04;5.527783934736541838e+00;5.727617730910796467e+01
6.104978413194425957e+04;8.797517650297129066e+00;5.651942920642717638e+01
6.104978416666626435e+04;1.188284684755136489e+01;5.569192259221688346e+01
6.104978420138925867e+04;1.478281864039016646e+01;5.480459299625075431e+01
6.104978423611126345e+04;1.750034961317386717e+01;5.386791649344650779e+01
6.104978427083326096e+04;2.004125207895939198e+01;5.289170212125679171e+01
6.104978430555525847e+04;2.241335997508801015e+01;5.188496038585515890e+01
6.104978434027826006e+04;2.462579289889747258e+01;5.085583444990491842e+01
6.104978437500025757e+04;2.668836848220735192e+01;4.981158013633204007e+01
6.104978440972226235e+04;2.861115416643589171e+01;4.875858134088987583e+01
6.104978444444425986e+04;3.040414078854412239e+01;4.770238985272590782e+01
6.104978447916625737e+04;3.207701557515744639e+01;4.664778087399209028e+01
6.104978451388926624e+04;3.363901409027134548e+01;4.559881684734323670e+01
6.104978454861125647e+04;3.509883188515941299e+01;4.455891506495684951e+01
6.104978458333326125e+04;3.646457975036950927e+01;4.353091585051073764e+01
6.104978461805526604e+04;3.774377025121562923e+01;4.251714758989273690e+01
6.104978465277826035e+04;3.894332552000384595e+01;4.151948924089621329e+01
6.104978468750026514e+04;4.006959937220327816e+01;4.053942728522485339e+01
6.104978472222226264e+04;4.112840767320916768e+01;3.957810821142670221e+01
6.104978475694426015e+04;4.212506357524733147e+01;3.863638572661652404e+01
6.104978479166626494e+04;4.306441481692658613e+01;3.771486298346523114e+01
6.104978482638925925e+04;4.395088125197435147e+01;3.681393016623133008e+01
6.104978486111126404e+04;4.478849134664820042e+01;3.593379732124249415e+01
6.104978489583326154e+04;4.558091684368243790e+01;3.507452363503897175e+01
6.104978493055525905e+04;4.633150547817823650e+01;3.423604224344607161e+01
6.104978496527826064e+04;4.704331077140896866e+01;3.341818257692818150e+01
6.104978500000025815e+04;4.771912010575216812e+01;3.262068903901289474e+01
6.104978503472226294e+04;4.836147970564939413e+01;3.184323727829238848e+01
6.104978506944426044e+04;4.897271778510116036e+01;3.108544834048095851e+01
6.104978510416625795e+04;4.955496523144333310e+01;3.034690035675404829e+01
6.104978513888925954e+04;5.011017439836282961e+01;2.962713879969279418e+01
6.104978517361125705e+04;5.064013612274411003e+01;2.892568507765090757e+01
6.104978520833326183e+04;5.114649467886763290e+01;2.824204381131873021e+01
6.104978524305525934e+04;5.163076187317163601e+01;2.757570862059691663e+01
6.104978527777826093e+04;5.209432907636581689e+01;2.692616768228708324e+01
6.104978531250026572e+04;5.253847845340411027e+01;2.629290733972588612e+01
6.104978534722225595e+04;5.296439270376723840e+01;2.567541617078540028e+01
6.104978538194426073e+04;5.337316451526628924e+01;2.507318722240849596e+01
6.104978541666626552e+04;5.376580395519829381e+01;2.448572087539781350e+01
6.104978545138925983e+04;5.414324643445958429e+01;2.391252621951447921e+01
6.104978548611126462e+04;5.450635872360264500e+01;2.335312265775995044e+01
6.104978552083326213e+04;5.485594508348449239e+01;2.280704105229156298e+01
6.104978555555525963e+04;5.519275265106996642e+01;2.227382464115504490e+01
6.104978559027826122e+04;5.551747619498146946e+01;2.175302938205916803e+01
6.104978562500025873e+04;5.583076235538656817e+01;2.124422458262933233e+01
