Epoch (mjd);Azimuth (deg),Elevation (deg)
6.104978204861126142e+04;2.652856492669982345e+02;2.017544332094561454e+01
6.104978208333325892e+04;2.655767251195455287e+02;2.066151017568412485e+01
6.104978211805526371e+04;2.658780597241188275e+02;2.115874615508935719e+01
6.104978215277825802e+04;2.661902133188502830e+02;2.166755513711109771e+01
6.104978218750026281e+04;2.665137865353965481e+02;2.218835452150309706e+01
6.104978222222226032e+04;2.668494238939812249e+02;2.272157540171041745e+01
6.104978225694425782e+04;2.671978177568040564e+02;2.326766216379895980e+01
6.104978229166626261e+04;2.675597125679282158e+02;2.382707208538501931e+01
6.104978232638925692e+04;2.679359098380133446e+02;2.440027470538169752e+01
6.104978236111126171e+04;2.683272731290482511e+02;2.498775130833691449e+01
6.104978239583325922e+04;2.687347344141825261e+02;2.558999332015155659e+01
6.104978243055525672e+04;2.691593001510790373e+02;2.620750133405121574e+01
6.104978246527826559e+04;2.696020586730696778e+02;2.684078310523394606e+01
6.104978250000025582e+04;2.700641883251558397e+02;2.749035114444749084e+01
6.104978253472226061e+04;2.705469662875587460e+02;2.815672025427077685e+01
6.104978256944426539e+04;2.710517784305932310e+02;2.884040369029667517e+01
6.104978260416625562e+04;2.715801304300490528e+02;2.954190937961057983e+01
6.104978263888926449e+04;2.721336600857837311e+02;3.026173464957865633e+01
6.104978267361126200e+04;2.727141507289344418e+02;3.100036015449524385e+01
6.104978270833325951e+04;2.733235466344833071e+02;3.175824288549773655e+01
6.104978274305526429e+04;2.739639697516245747e+02;3.253580746160810833e+01
6.104978277777825861e+04;2.746377383821887861e+02;3.333343621756304032e+01
6.104978281250026339e+04;2.753473878071238232e+02;3.415145717170026529e+01
6.104978284722226090e+04;2.760956932621018041e+02;3.499013027497141337e+01
6.104978288194425841e+04;2.768856949757753227e+02;3.584963108164492240e+01
6.104978291666626319e+04;2.777207257863428254e+02;3.673003207088187594e+01
6.104978295138925751e+04;2.786044412791288210e+02;3.763128081704402206e+01
6.104978298611126229e+04;2.795408520441076803e+02;3.855317472225499387e+01
6.104978302083325980e+04;2.805343582825544786e+02;3.949533231121480270e+01
6.104978305555525731e+04;2.815897865336395398e+02;4.045716045801391658e+01
6.104978309027826617e+04;2.827124266302064370e+02;4.143781674280617722e+01
6.104978312500025640e+04;2.839080695712821694e+02;4.243616791236856756e+01
6.104978315972226119e+04;2.851830425297983425e+02;4.345074221001275561e+01
6.104978319444426597e+04;2.865442399069037265e+02;4.447967780938345328e+01
6.104978322916625621e+04;2.879991456200225457e+02;4.552066534679160981e+01
6.104978326388926507e+04;2.895558418691088036e+02;4.657088621365986114e+01
6.104978329861126258e+04;2.912229967034617175e+02;4.762694729662965898e+01
6.104978333333326009e+04;2.930098214509622494e+02;4.868481308206256131e+01
6.104978336805526487e+04;2.949259845452199897e+02;4.973973798972461680e+01
6.104978340277825919e+04;2.969814664526599017e+02;5.078620225880909089e+01
6.104978343750026397e+04;2.991863374794892252e+02;5.181785619914300867e+01
6.104978347222226148e+04;3.015504361704870462e+02;5.282747951118369656e+01
6.104978350694425899e+04;3.040829277304316633e+02;5.380696489942581451e+01
6.104978354166626377e+04;3.067917229876003375e+02;5.474733594868462205e+01
6.104978357638925809e+04;3.096827499352288555e+02;5.563881421745374212e+01
6.104978361111126287e+04;3.127590852420856322e+02;5.647094700749347140e+01
6.104978364583326038e+04;3.160199841203325946e+02;5.723281225353835566e+01
6.104978368055525789e+04;3.194598841811031775e+02;5.791330786698370758e+01
6.104978371527825948e+04;3.230675045156648935e+02;5.850152977343883265e+01
6.104978375000025699e+04;3.268252014616742827e+02;5.898722695580793385e+01
6.104978378472226177e+04;3.307087615362303268e+02;5.936130955326279945e+01
6.104978381944425928e+04;3.346877887553435471e+02;5.961636463785003315e+01
6.104978385416625679e+04;3.387267718251253541e+02;5.974712495126323120e+01
6.104978388888926565e+04;3.427867934467781197e+02;5.975082786290160897e+01
6.104978392361125589e+04;3.468277052643856564e+02;5.962741281112619873e+01
6.104978395833326067e+04;3.508104784815634503e+02;5.937952571503495136e+01
6.104978399305526546e+04;3.546993948520673143e+02;5.901232955461554042e+01
6.104978402777825977e+04;3.584637830283914468e+02;5.853315177251833745e+01
6.104978406250026455e+04;2.079118765616030373e+00;5.795101880314363285e+01
6.104978409722226206e+04;5.527443884285131226e+00;5.727614098358375827e+01
6.104978413194425957e+04;8.797184016973023546e+00;5.651940307955171505e+01
6.104978416666626435e+04;1.188252157941106901e+01;5.569190603373660764e+01
6.104978420138925867e+04;1.478250316982816770e+01;5.480458514672896086e+01
6.104978423611126345e+04;1.750004497151419613e+01;5.386791655074229368e+01
6.104978427083326096e+04;2.004095889645562423e+01;5.289170928322922549e+01
6.104978430555525847e+04;2.241307853821904317e+01;5.188497390765912343e+01
6.104978434027826006e+04;2.462552337955064630e+01;5.085585358669527523e+01
6.104978437500025757e+04;2.668811070849532285e+01;4.981160408596787192e+01
6.104978440972226235e+04;2.861090790917554472e+01;4.875860947311762317e+01
6.104978444444425986e+04;3.040390570396078118e+01;4.770242159458775433e+01
6.104978447916625737e+04;3.207679120488487712e+01;4.664781565253024809e+01
6.104978451388926624e+04;3.363880003323908596e+01;4.559885414689569672e+01
6.104978454861125647e+04;3.509862762570544703e+01;4.455895454174893899e+01
6.104978458333326125e+04;3.646438483012761367e+01;4.353095698888042620e+01
6.104978461805526604e+04;3.774358415452376647e+01;4.251719010336113769e+01
6.104978465277826035e+04;3.894314778849579994e+01;4.151953284298442526e+01
6.104978468750026514e+04;4.006942960480858318e+01;4.053947168945396839e+01
6.104978472222226264e+04;4.112824541156158631e+01;3.957815318861361931e+01
6.104978475694426015e+04;4.212490836098062630e+01;3.863643104757811386e+01
6.104978479166626494e+04;4.306426624897030564e+01;3.771490847631416443e+01
6.104978482638925925e+04;4.395073898655382294e+01;3.681397565908025626e+01
6.104978486111126404e+04;4.478835509728451569e+01;3.593384275679564155e+01
6.104978489583326154e+04;4.558078626660092425e+01;3.507456884140901110e+01
6.104978493055525905e+04;4.633138017230843531e+01;3.423608716333720992e+01
6.104978496527826064e+04;4.704319050756777187e+01;3.341822715304463998e+01
6.104978500000025815e+04;4.771900459746066758e+01;3.262073315676312291e+01
6.104978503472226294e+04;4.836136872372447471e+01;3.184328088038059690e+01
6.104978506944426044e+04;4.897261110035970688e+01;3.108549142690714717e+01
6.104978510416625795e+04;4.955486261470222331e+01;3.034694281292667029e+01
6.104978513888925954e+04;5.011007567773473426e+01;2.962718068290761764e+01
6.104978517361125705e+04;5.064004101175011385e+01;2.892572638790793960e+01
6.104978520833326183e+04;5.114640312021197133e+01;2.824208443402640256e+01
6.104978524305525934e+04;5.163067363767118678e+01;2.757574867034679400e+01
6.104978527777826093e+04;5.209424399213323653e+01;2.692620704448760804e+01
6.104978531250026572e+04;5.253839634855206953e+01;2.629294607167284070e+01
6.104978534722225595e+04;5.296431352099995138e+01;2.567545421518300230e+01
6.104978538194426073e+04;5.337308802540064079e+01;2.507322463655251710e+01
6.104978541666626552e+04;5.376573010093850513e+01;2.448575765928826087e+01
6.104978545138925983e+04;5.414317510121409072e+01;2.391256231585557046e+01
6.104978548611126462e+04;5.450628973948411016e+01;2.335315812384746792e+01
6.104978552083326213e+04;5.485587844849290917e+01;2.280707594542128547e+01
6.104978555555525963e+04;5.519268819331801978e+01;2.227385890403119362e+01
6.104978559027826122e+04;5.551741379987757341e+01;2.175306301468173942e+01
6.104978562500025873e+04;5.583070202293072981e+01;2.124425764229411229e+01
6.104978565972226352e+04;5.613315544219062758e+01;2.074702544441032614e+01
